"Date","Site.Name","COUNTY","SITE_LATITUDE","SITE_LONGITUDE","month","day","Ozone","PM2.5"
2017-01-01,"Blackstone","Lee",35.4325,-79.2887,1,1,27,25
2017-01-01,"Bryson City","Swain",35.434767,-83.442133,1,1,NA,40
2017-01-02,"Blackstone","Lee",35.4325,-79.2887,1,2,15,7
2017-01-02,"Bryson City","Swain",35.434767,-83.442133,1,2,NA,38
2017-01-03,"Blackstone","Lee",35.4325,-79.2887,1,3,15,10
2017-01-03,"Bryson City","Swain",35.434767,-83.442133,1,3,NA,13
2017-01-04,"Blackstone","Lee",35.4325,-79.2887,1,4,27,14
2017-01-04,"Bryson City","Swain",35.434767,-83.442133,1,4,NA,18
2017-01-05,"Blackstone","Lee",35.4325,-79.2887,1,5,24,25
2017-01-05,"Bryson City","Swain",35.434767,-83.442133,1,5,NA,33
2017-01-05,"Triple Oak","Wake",35.8652,-78.8197,1,5,NA,11
2017-01-06,"Blackstone","Lee",35.4325,-79.2887,1,6,23,25
2017-01-06,"Bryson City","Swain",35.434767,-83.442133,1,6,NA,25
2017-01-06,"Triple Oak","Wake",35.8652,-78.8197,1,6,NA,22
2017-01-07,"Blackstone","Lee",35.4325,-79.2887,1,7,30,30
2017-01-07,"Bryson City","Swain",35.434767,-83.442133,1,7,NA,40
2017-01-07,"Triple Oak","Wake",35.8652,-78.8197,1,7,NA,24
2017-01-08,"Blackstone","Lee",35.4325,-79.2887,1,8,33,41
2017-01-08,"Bryson City","Swain",35.434767,-83.442133,1,8,NA,44
2017-01-08,"Triple Oak","Wake",35.8652,-78.8197,1,8,NA,31
2017-01-09,"Blackstone","Lee",35.4325,-79.2887,1,9,31,38
2017-01-09,"Bryson City","Swain",35.434767,-83.442133,1,9,NA,52
2017-01-09,"Triple Oak","Wake",35.8652,-78.8197,1,9,NA,42
2017-01-10,"Blackstone","Lee",35.4325,-79.2887,1,10,33,34
2017-01-10,"Bryson City","Swain",35.434767,-83.442133,1,10,NA,54
2017-01-10,"Triple Oak","Wake",35.8652,-78.8197,1,10,NA,46
